sentence,label
Cow milk protein allergy occurs approximately 5-10 population infant child become important public food safety problem,0
Flagellate dermatitis caused intake shiitake mushroom characterized linear erythematous lesion intensely pruritic,0
Previously supplementation selenium-rich Brazil nut Bertholletia excelsa shown potential reducing cognitive decline MCI patient could prove safe effective nutritional approach early disease process slow decline,1
The consumption natural polyphenol-rich food cocoa particular related reduced risk CVD including coronary heart disease stroke,1
Virgin olive oil key component Mediterranean Diet MDiet recognised beneficial effect metabolism cardiovascular health may decrease risk osteoporotic fracture,1
Asthma could induced inhaled flour exposure allergen present bakery product,0
Dairy product contain beneficial harmful nutrient relation cardiometabolic disease,2
PRV-3 recently associated disease rainbow trout Oncorhynchus mykiss characterized anaemia heart red muscle pathology jaundice syndrome coho salmon Oncorhynchus kisutch,2
Further waste product tropical fruit including mangosteen rind coffee pulp spent coffee ground provide option reduce metabolic syndrome,1
Components ginger Zingiber officinale extract described potential new drug candidate Alzheimer disease AD able interact several molecular target related AD treatment,1
Iron-deficiency anemia important health problem global public issue development iron fortifiers diet essential decrease iron deficiency,1
Out 314 subject tested 22 7 respiratory allergy flour flour rhinitis and/or flour asthma 21 6.7 preexistent atopic disease without actual symptom flour allergy,0
Curcumin polyphenol Curcuma longa turmeric plant polyphenol belongs ginger family long used Ayurveda medicine treat various disease asthma anorexia coughing hepatic disease diabetes heart disease wound healing Alzheimer,1
In last decade several theory investigating cause neurodegenerative disease formulated condition risk factor contribute described gut-brain axis hypothesis stress unbalanced diet drug impact altering microbiota composition contributes dysbiosis,0
Age female sex obesity rapid weight loss consumption refined sugar saturated fat iron deficiency vitamin D low intake fiber vitamin C factor associated increased risk cholelithiasis,2
Use Labiatae food food additive spice may prevent risk cardiovascular disease diabetes cancer,1
iii evaluate extent candidate aetiological factor mitochondrial complex I inhibitor annonacin contained fruit leaf tropical plant Annona muricata soursop play role neurological syndrome,2
Chlamydia-qPCR determined 97.6 shell embryonated egg 287/294 breeding farm positive C. gallinacea,2
Zoonotic disease transmitted animal human direct contact food water environment,2
Coffee consumption associated significant decrease risk developing chronic disease Parkinson disease diabetes type-2 several type cancer e.g colon liver,1
Vegetables bean nutrient-dense food innate potential mediate diabetes variety culture,1
The author base hypothesis meta-analyses epidemiological data numerous experimental study comprehensive review mechanism action extra-virgin olive oil component prevention vascular disease,1
In vitro cell culture vivo animal osteoporosis model demonstrated potential seafood-derived SBPs including fish mollusk crustacean seaweed microalgae preventing osteoporosis,1
Recent study suggest dietary virgin olive oil reduces hypoxia-reoxygenation injury rat brain,1
"However liquid UPF processed meat associated increased rate hypertension IRR 1.32 95 CI:1.10,1.65 IRR 1.17 95 CI:1.01,1.36 respectively",0
Consumption adequate amount folic acid woman pregnancy early pregnancy decrease risk pregnancy affected neural tube defect NTDs common preventable type birth defect worldwide,1
Increased olive oil consumption implicated reduction cardiovascular disease rheumatoid arthritis lesser extent variety cancer,1
In subgroup analysis cheese yogurt consumption associated decreased CVD risk OR 0.87 95 CI 0.80-0.94 cheese OR 0,1
No correlation found occurrence stone positive test ELISA IBV infectious bronchitis virus number stone calcium concentration water food indicating IBV infection calcium diet related stone formation,2
Selective nutrition therapy ASD brain function show improvement behavioral change reduction malnutrition seemingly associated allergy food intolerance gluten,1
The leaf fruit Rhus coriaria traditionally used Turkey treatment diabetes,1
Tea consumption positive effect skeletal system prevents postmenopausal osteoporosis mainly inhibiting osteoclastogenesis,1
Diets characterized high intake refined sugar salt animal-derived protein fat low intake fruit vegetable associated higher risk AD perturb circadian modulation cortisol secretion associated poor sleep quality,0
This particular priority resource-constrained setting prevalence iron deficiency poor nutrition infection poor birth outcome high,2
These beverage include compound may contradictory effect insulin glucose Caffeine impairs insulin sensitivity polyphenolic molecule within tea coffee cocoa augment effect insulin,2
Beer consumption inversely associated risk kidney stone bottle beer consumed per day estimated reduce risk 40 RR 0.60 95 CI 0.47-0.76,1
Oral food challenge demonstrated diagnosis almond allergy based extract-sIgE test display low specificity,0
The mandatory fortification enriched cereal grain e.g. wheat flour folic acid began United States 1998 example successful intervention significantly reduced rate neural tube defect NTDs,1
Traditional Mediterranean Diet MD associated low-prevalence certain type cancer CVDs olive oil play important role,1
Curcumin naturally occurring polyphenol found Curcuma longa multiple therapeutic property anti-inflammatory wound healing anti-cancer effect,1
In term nutrition diet high fat particularly saturated fat salt sugar shown associated innumerable incidence diet- associated health disease,0
In Western population higher level fruit consumption associated lower risk cardiovascular disease little known association China consumption level low rate stroke high,1
Yam Dioscorea spp known edible medicinal tuber crop China used historically treatment diabetes diarrhea asthma ailment traditional Chinese medicine,1
The basophil activation test BAT reported useful diagnosis various food allergy allergy peanut fish,2
We find evidence rat strain genetic predisposition obesity differed ability experience reward chocolate condition place preference task,2
Oleuropein component extra virgin olive oil EVOO reduces post-prandial glycemia mechanism counteracting oxidative stress-mediated incretin down-regulation,1
A high educational level vegetable-based diet tea protective factor VD,1
In ovo vaccination herpesvirus turkey HVT recombinant HVT rHVT commonly used meat-type chicken,2
Higher score meat-convenience dietary pattern high intake deep-fried processed food sauce sugar-added beverage meat organ meat instant noodle rice flour cooked oil egg association component dyslipidemia abnormal FPG,2
The beneficial effect olive oil phenol attributed variety biological activity including free radical scavenging/antioxidant action anti-inflammatory effect anti-carcinogenic property anti-microbial activity,1
The development hypertension HTN cafeteria CAF diet-fed rat demonstrated attenuated grape seed proanthocyanidin extract GSPE administration,1
Extensive research last 10 year indicated nutraceuticals derived spice turmeric red pepper black pepper licorice clove ginger garlic coriander cinnamon target inflammatory pathway thereby may prevent neurodegenerative disease,1
Red yeast rice food fermentation product widely used promote blood circulation remove blood stasis,1
Acorn obtained Quercus liaotungensis Koidz tree consumed Chinese folk medicine treatment diarrhea abdominal pain inflammation also strong antioxidant activity utilized treatment diabetes China,1
Paradoxically Honolulu Asia Aging Study reported increased risk cognitive impairment dementia marker high tofu soybean curd intake,0
f. star anise used traditional medicine treatment skin inflammation rheumatism asthma bronchitis,1
However validity noni fruit juice treatment rheumatoid arthritis RA autoimmune disorder confirmed yet,2
Dark tea significant effect prevention treatment age-related degenerative disease,1
Iron-deficiency anemia IDA major global public health problem iron fortifiers diet clearly needed prevention improvement IDA human,1
